rec_idx,team_id,n_players,player_ids,player_names
20,21,26,108906|41124|40742|58632|116356|101378|123131|117766|102526|142155|116355|58633|136776|110530|111061|136775|58634|116357|58636|112377|116354|112378|142078|130357|40740|34813,丹尼尔·巴赫曼|戴维·阿拉巴|亚历山大·德拉戈维奇|马丁·辛特雷格|斯特凡·莱纳|安德烈亚斯·乌尔默|施拉格尔|康拉德·莱默|马塞尔·萨比策|克里斯托弗·鲍姆加特纳|米夏埃尔·格雷戈里奇|亚历山大·施拉格尔|帕瓦奥·佩尔万|菲利普·利哈特|马尔科·弗里德尔|克里斯托弗·特里梅尔|斯特凡·伊尔桑克尔|弗洛里安·格里利奇|瓦伦蒂诺·拉扎罗|亚历山德罗·绍普夫|路易斯·绍布|卡里姆·奥尼西沃|萨沙·卡莱季奇|斯蒂芬·波施|鲍姆加特林格|马尔科·阿尔瑙托维奇
21,22,26,38784|116649|123307|142782|63453|105021|110657|128479|112308|114078|39976|37271|105028|105020|117882|59710|143431|144805|107236|140243|145681|38412|130318|145804|130317|145805,彼得·古拉奇|奥尔万|博特卡|绍洛伊|洛伊奇·内戈|菲奥拉|亚当·纳吉|安德拉斯·沙费尔|拉索洛·克莱因海斯勒|罗兰德·绍洛伊|亚当·绍洛伊|博格丹|德尼斯·迪布斯|亚当·朗|阿科什·凯奇凯什|盖尔格·洛夫伦契奇|西格|塔马斯·切里|罗兰·沃尔高|瓦尔加|肖恩|尼科利奇|菲利普·霍伦达|博拉|加兹达格|亚诺什乔鲍·哈恩
22,23,23,44104|130235|116397|104159|121193|43206|125394|42888|104168|132349|110839|40520|143824|123210|123211|112096|143825|39230|42654|112098|107412|37436|107209,扬·奥布拉克|米哈·布拉日奇|米哈·梅夫利亚|佩塔尔·斯托扬诺维奇|尤雷·巴尔科韦茨|亚斯明·库尔蒂奇|亚卡·比约尔|约瑟普·伊利契奇|达米扬·博哈尔|桑迪·洛夫里奇|安德拉兹·什波拉尔|维德·贝莱茨|罗兹曼|内马尼亚·米特罗维奇|巴伊里奇|内伊奇·斯库比奇|尤尔切维奇|勒内·科尔辛|哈里斯·武奇基奇|米哈·扎伊茨|本杰明·维尔比奇|蒂姆·马塔夫日|罗伯特·贝里奇
23,24,26,113596|38346|43540|40856|132192|34098|43135|38439|110903|104749|60851|105080|110010|125039|136884|132547|38345|47396|61720|118494|133263|100412|60565|145777|126768|110303,多米尼克·利瓦科维奇|德扬·洛夫伦|多马戈伊·维达|西梅·弗尔萨里科|约什科·格瓦迪奥尔|卢卡·莫德里奇|马特奥·科瓦契奇|伊万·佩里西奇|布雷卡洛|安德雷·克拉马里奇|安特·雷比奇|洛夫雷·卡利尼奇|西蒙·斯卢加|杜耶·恰莱塔-察尔|约瑟普·尤拉诺维奇|多马戈伊·布拉达里奇|米兰·巴德利|马尔切洛·布罗佐维奇|马里奥·帕萨利奇|尼古拉·弗拉希奇|卢卡·伊瓦努谢克|米斯拉夫·奥尔西奇|布鲁诺·佩特科维奇|米莱·什科里奇|博尔纳·巴里西奇|安特·布迪米尔
24,26,23,44048|46554|136765|107945|123359|116055|46694|57025|38697|109447|63331|42364|143820|104021|123360|109438|130354|123361|113792|117396|118398|7889|104685,塔塔鲁萨努|弗拉德·基里凯什|安德烈·布尔克|曼尼亚|尼库绍尔·班库|勒兹万·马林|尼古拉·斯坦丘|亚历山德鲁·马克西姆|奇普里安·德亚克|亚历山德鲁·米特里塔|丹尼斯·阿利贝奇|克里斯蒂安·巴尔格莱德恩|拉扎尔|阿林·托斯卡|约努茨·内德尔恰鲁|瓦西里·莫戈什|图尔多·巴尔察|亚历山德鲁·奇卡尔道|亚尼斯·哈吉|曼|弗罗里内尔·科曼|克劳迪乌·科塞鲁|乔治·普斯卡什
25,27,23,102786|130326|112391|105014|37829|107329|116102|112395|143913|107551|100457|143909|118276|130081|46351|123191|102626|143911|116101|143790|143914|143791|143915,普拉曼·伊利耶夫|安托夫|瓦西尔·博日科夫|斯特拉希尔·波波夫|佩塔尔·扎涅夫|克里斯蒂安·马利诺夫|格奥尔基·科斯塔迪诺夫|德列夫|伊利耶夫|武托夫|安德烈·加拉比诺夫|诺莫夫|赫里斯托夫|赫里斯托夫|西西尼奥|雷诺夫|伊瓦伊洛·乔切夫|维塔诺夫|基里尔·德斯波多夫|卡拉加伦|约莫夫|伊利耶夫|伊利耶夫
26,28,23,111172|36358|40097|107325|128309|59646|44264|118101|105056|59657|128022|117476|118304|43046|117474|43266|108225|59813|42611|46599|127662|117483|117876,奥迪塞亚斯·弗拉乔迪莫斯|索克拉蒂斯·帕帕斯塔索普洛斯|科斯塔斯·马诺拉斯|米哈伊尔·巴卡基斯|德米特里斯·吉亚努利斯|迪米特里奥斯·库尔别利斯|泽卡|季米特里斯·利姆尼奥斯|佩特罗斯·曼塔洛斯|阿纳斯塔西奥斯·巴卡塞塔斯|埃·帕弗利迪斯|瓦西利奥斯·巴卡斯|亚历山德罗斯·帕斯哈拉基斯|季米特里奥斯·西奥瓦斯|康斯坦丁诺斯·兰布罗普洛斯|科斯塔斯·斯塔菲利迪斯|康斯坦丁诺斯·齐米卡斯|安德烈亚斯·布哈拉基斯|查拉拉姆波斯·马夫里亚斯|康斯坦丁诺斯·福图尼斯|乔治·马苏拉斯|埃夫西米奥斯·库卢里斯|乔治·亚库马基斯
27,29,26,121088|126807|112084|123160|133239|59548|58617|121006|116230|101097|34862|37225|123592|124270|126995|116229|123745|124824|125830|121095|107854|124257|143434|124385|121086|140230,乌乌尔詹·恰基尔|梅里赫·德米拉尔|恰拉尔·瑟因居|穆罕默德·切利克|梅尔特·莫尔德|卡恩·艾汉|奥赞·图凡|伊尔凡·卡赫韦吉|坚吉兹·云代尔|哈坎·恰尔汉奥卢|布拉克·伊尔马兹|梅尔特·居诺克|阿尔塔伊·巴因迪尔|奥赞·卡巴克|勒德万·伊尔马兹|奥卡伊·约库什卢|奥尔昆·柯克曲|塔伊兰·安塔尔亚利|多鲁克汗·托克兹|优素福·亚泽哲|恩内斯·于纳尔|易卜拉欣·德尔维什奥卢|卡拉曼|坚吉兹·梅拉什|阿卜杜勒-卡迪尔·厄米尔|阿克格鲁
28,30,26,45365|136098|116375|112078|118347|42602|118255|113340|38261|107498|110431|34431|128788|42605|121954|114668|59741|105073|45954|102711|106778|116674|110837|106776|140862|124029,格奥尔基·布什恰恩|伊利亚·扎巴尔尼|尼古拉·马特维延科|亚历山大·卡拉瓦耶夫|维塔利·米科连科|塔拉斯·斯捷潘年科|尼古拉·沙帕连科|奥列克桑德·津琴科|安德里·亚尔莫连科|鲁斯兰·马利诺夫斯基|罗曼·亚列姆丘克|安德里·皮亚托夫|阿纳托利·特鲁宾|谢尔盖·克里夫措夫|德尼斯·波波夫|奥莱克桑德尔·蒂姆奇克|爱德华·索博尔|塞尔吉·席多丘克|罗曼·别祖斯|马洛斯|维克托·齐甘科夫|奥莱克桑德尔·祖布科夫|阿尔特姆·别谢金|叶夫根尼·马卡连科|苏达科夫|阿尔特姆·多夫比克
29,31,26,122128|126405|122066|116365|43784|117834|107338|105053|112062|107800|36256|39538|126176|61674|126394|61426|30199|116364|125779|63907|60423|47631|123493|134940|133553|122261,马特维·萨福诺夫|伊戈尔·迪韦夫|德米特里·巴里诺夫|格奥尔基·吉基亚|马里奥·费尔南德斯|达勒·库季亚耶夫|罗曼·佐布宁|穆罕默德·奥兹多耶夫|亚历山大·戈洛文|阿列克谢·米兰丘克|阿尔捷姆·久巴|安东·舒宁|尤里·久平|安德烈·谢苗诺夫|罗曼·叶夫根耶夫|维亚切斯拉夫·卡拉瓦耶夫|尤里·日尔科夫|费多尔·库德里亚绍夫|达尼尔·福明|阿列克塞·约诺夫|丹尼斯·切里谢夫|安东·扎博洛特内|亚历山大·索博列夫|丹尼斯·马卡罗夫|马克西姆·穆欣|里法特·热马列季诺夫
