player_id,player_name,team_id
36714,阿图罗·比达尔,47
36718,阿莱克西斯·桑切斯,47
36721,何塞·卡维昂,5389
36727,费尔南多·穆斯莱拉,49
36743,尤卡·赖塔拉,18
36764,亚历山大·科拉罗夫,119
36766,胡安·马塔,100
36768,弗拉泽·福斯特,207
36769,胡梅尔斯,14
36770,托尼·克罗斯,14
36774,费尔南多·弗朗西斯科·雷热斯,265
36777,柯克·布罗德富特,1985
36788,阿德里恩·席尔瓦,240
36807,马蒂亚斯·约根森,15
36817,马里奥·曼祖基奇,121
36821,埃尔南·巴尔科斯,2287
36832,戈克汉·戈努尔,197
36847,法比安·弗雷,1706
36848,瓦伦丁·斯托克,1706
36857,奥雷斯蒂斯·卡尼齐斯,213
36865,伯格西奥,4042
36867,法比奥·科恩特朗,1979
36870,阿伊塔米·阿蒂莱斯,364
36874,阿德里安·洛佩斯·阿尔瓦雷斯,268
36876,巴勃罗·埃尔南德斯,104
36888,马丁·卡塞雷斯,49
36890,贡纳尔·尼尔森,1173
36893,亚历山大·皮尔斯,387
36895,比利·夏普,4194
36918,迭戈·阿尔维斯,1248
36941,埃尔温·穆尔德,245
36943,卡西奥·拉莫斯,1247
36945,法格纳·孔塞尔瓦,1247
36947,阿里,2618
36949,塞尔希奥·罗梅罗,100
36951,米切尔·唐纳德,5353
36956,勒罗伊·乔治,345
36958,约翰,355
36967,诺丁·阿姆拉巴特,32
36986,库阿西·热尔维尼奥,123
36992,法比安·勒穆瓦纳,414
36998,埃登·阿扎尔,9
37000,阿迪尔·拉米,4323
37005,亨里·赛维,106
37017,马马杜·萨科,382
37021,尤尼塞·桑克海尔,198
37026,史蒂夫·曼丹达,8
37028,安德烈·阿尤,1058
37031,马蒂厄·德雷耶,414
37035,穆萨·西索科,8
37039,卡洛斯·桑切斯,398
37044,阿吉雷,2287
37054,亚历山大·雷诺,406
37065,摩根·施奈德林,217
37070,安东尼·韦伯,405
37082,马修·布里格斯,5235
37086,马丁·凯利,382
37106,安赫尔·迪马利亚,50
37109,迭戈·博纳诺特,2191
37114,马特奥·穆萨基奥,122
37117,安德烈·卡斯特罗,1974
37129,萨米尔·乌伊卡尼,333
37136,尼古拉斯·维奥拉,4232
37140,马特奥·达米安,119
37147,马尔科·萨乌,4232
37148,华金·拉里韦,2209
37158,马西莫·沃尔塔,328
37159,安德雷亚·波利,186
37174,西莫内·雅各布尼,123
37191,安东尼·莫德斯特,418
37198,詹卢卡·佩戈洛,1919
37219,菲利普·乔尔杰维奇,188
37225,梅尔特·居诺克,29
37241,拉蒙·莫塔,136
37250,莱昂德罗·卡斯坦,136
