pesdb_index,english_name,code3
424,Clube Náutico,NAU
425,Sport Recife,SPO
426,Trabzonspor,TS
427,BSC Young Boys,YB
428,FC Zürich,FCZ
429,Sporting Braga,BRA
430,CS Marítimo,MAR
431,Paços de Ferreira,PFE
432,Rio Ave FC,TON
433,Kilmarnock FC,KIL
434,Motherwell FC,MOT
435,St. Mirren FC,STM
436,Antalyaspor,ANT
437,Istanbul Başakşehir FK,IBB
438,Kayserispor,KAY
439,Cercle Brugge,CER
440,RSC Charleroi,CHA
441,KV Kortrijk,KVK
442,SV Zulte Waregem,ZUL
443,Torpedo Moscow,TOR
444,FC Flora Tallinn,FLO
445,FC Viktoria Plzeň,VIK
446,FK Radnicki Nis,RDN
447,FK Cukaricki,FKC
448,AC Horsens,ACH
449,Aarhus GF,AGF
450,FC Midtjylland,FCM
451,Odense Boldklub,OB
452,Randers FC,RFC
453,Lech Poznan,LPO
454,APOEL Nicosia,APO
455,Omonia Nikosia,OMO
456,Girona FC,GIR
457,SD Huesca,HUE
458,Universidad Católica,UC
459,Audax Italiano,AUD
460,Atlético Nacional,NAC
461,Club Libertad,LIB
462,CD Everton,EVE
463,Universidad de Chile,UCH
464,Independiente Medellín,MED
465,Universitario de Deportes,UNI
466,Sporting Cristal,SC
467,Deportivo Táchira,DEP
468,FK Rostov,FCR
469,Bolívar La Paz,BOL
470,Once Caldas,ONC
471,Junior FC,JUN
472,Club Alianza Lima,ALI
473,Unión Española,UE
474,Deportes Tolima,TOL
475,St. Johnstone FC,STJ
476,Portimonense SC,PTM
477,Astana FC,AST
478,Ferencváros TC,FTC
479,FC Arouca,FCA
480,GD Estoril Praia,EST
481,Gil Vicente FC,GIL
482,CD Santa Clara,STA
483,América Mineiro,AME
484,Atlético Goianiense,ACG
485,Avaí FC,AVA
486,EC Bahia,BAH
487,Ceará SC,CEA
488,Red Bull Bragantino,RBB
489,Criciúma EC,CEC
490,AA Ponte Preta,PON
491,Vila Nova FC,VIL
492,ML Default Latinamerica,MDL
493,Clube de Regatas Brasil,CRB
494,Club Atlético Unión,CAU
495,CD O'Higgins,OHI
496,Deportes La Serena,LAS
497,Huachipato FC,HUA
498,Unión La Calera,ULC
499,Deportes Antofagasta,ANT
500,CD Palestino,PAL
501,CD Cobresal,CSL
502,Al Duhail SC,DUH
503,Al Nassr FC,NSR
504,Al Taawoun FC,TAA
505,FK Vojvodina,VOJ
506,Tractor Club,TRA
507,Huddersfield Town,HUD
508,CD Lugo,LUG
509,CD Mirandés,MIR
510,FK Krasnodar,KRA
511,Ross County FC,ROS
512,Kasimpaşa SK,KAS
513,Deportivo Cali,CAL
514,Deportivo Pasto,PAS
515,Envigado FC,ENV
516,Rionegro Águilas,RIO
517,CD La Equidad,EQU
518,Boyacá Patriotas FC,PAT
519,Independiente Santa Fe,SFE
520,Barcelona SC,BSC
521,Independiente Del Valle,IND
522,ML Default Asia,MLA
523,CD Ñublense,NUB
524,Coquimbo Unido,COQ
525,Curicó Unido,CUR
526,CA Aldosivi,CAA
527,Atlético Tucumán,ATU
528,Defensa y Justicia,DYJ
529,CA Patronato,PAT
530,CA Sarmiento,CAS
531,AFC Bournemouth,BOU
532,GD Chaves,GDC
533,Dalian Professional,DAL
534,Shanghai Port,SHP
535,Wuhan Yangtze,WFC
536,Chapecoense,CHA
537,Sampaio Corrêa,SAM
538,Tampines Rovers,TMR
539,FC Metz,FCM
540,FC Augsburg,AUG
541,Hertha BSC,BSC
542,TSG 1899 Hoffenheim,TSG
543,VfL Bochum,VFL
544,FC Köln,KOL
545,FC Union Berlin,UNI
546,Krylya Sovetov Samara,KRY
547,Deportivo Alavés,ALV
548,SD Eibar,EIB
549,CD Tenerife,TEN
550,Chicago Fire FC,CHI
551,Colorado Rapids,COL
552,Columbus Crew,CLB
553,DC United,DCU
554,FC Dallas,FCD
555,Los Angeles Galaxy,LAG
556,CF Montréal,MTL
557,New England Revolution,NER
558,New York RB,NYR
559,Portland Timbers,POR
560,San Jose Earthquakes,SJE
561,Seattle Sounders,SEA
562,Sporting Kansas City,SKC
563,Toronto FC,TOR
564,Vancouver Whitecaps,VW
565,Shandong Taishan,SDL
566,Foolad FC,FLD
567,Al Shorta SC,SHR
568,Al Sadd SC,SDD
569,Ulsan Hyundai,ULS
