src,kind,idx,date,f1,f2,f3,f4,f5,f6,f7,f8,f2_hi,f2_lo,f2_lo_is_FFFF
ML0,in-season,26,2021-08-20,336070629,0,2358771711,8047,110472,5242903,3129443,0,44594,35991,65535,True
ML0,in-season,27,2021-08-21,352847845,0,400621567,126,9043,6176770,6193155,0,4608,6112,65535,True
ML0,in-season,28,2021-08-21,352847845,0,563085311,3134,104259,38584499,4112478,0,32047,8591,65535,True
ML0,in-season,29,2021-08-21,352847845,0,3507224575,121,124840,1753089,6193155,0,289714,53515,65535,True
ML0,in-season,30,2021-08-22,369625061,0,2410020863,7662,115227,68714510,66699502,0,300000,36773,65535,True
ML0,in-season,31,2021-08-22,369625061,0,681771007,15628,47543,1835075,1933402,0,59199,10402,65535,True
ML0,in-season,32,2021-08-22,369625061,0,1132593151,12258,45668,4227113,32686458,0,18680,17281,65535,True
ML0,in-season,33,2021-08-23,386402277,0,2748448767,8455,143071,6258693,5849349,0,184798,41937,65535,True
ML0,in-season,34,2021-08-24,403179493,0,316932095,4360,7507,20447357,20562054,0,18999,4835,65535,True
ML0,in-season,35,2021-08-24,403179493,0,2441609215,8143,117931,4407621,3129443,0,12770,37255,65535,True
ML0,in-season,36,2021-08-24,403179493,0,2075197439,600,110404,3555398,6537233,0,13184,31664,65535,True
ML0,in-season,37,2021-08-24,403179493,0,121962495,8858,107543,38453419,32342128,0,10114,1860,65535,True
ML0,in-season,38,2021-08-25,419956709,0,3350724607,15370,42499,3932195,2195943,0,13000,51127,65535,True
ML0,in-season,39,2021-08-25,419956709,0,4054581247,2733,114333,1638412,1900625,0,553332,61867,65535,True
ML0,in-season,40,2021-08-26,436733925,1,2379481087,5101,47834,3391503,2261147,0,57798,36307,65535,True
ML0,in-season,41,2021-08-26,436733925,0,2349400063,85,116543,37650597,6176770,0,131709,35848,65535,True
ML0,in-season,42,2021-08-26,436733925,0,3384737791,1841,42479,37650597,3178550,0,47391,51646,65535,True
ML0,in-season,43,2021-08-26,436733925,0,3813801983,867,42588,3178550,5357600,0,54303,58193,65535,True
ML0,in-season,44,2021-08-26,436733925,0,2818572287,1383,47241,3178550,67911720,0,25652,43007,65535,True
ML0,in-season,45,2021-08-26,436733925,0,2666594303,5523,114191,3178550,3014823,0,209035,40688,65535,True
ML0,in-season,46,2021-08-26,436733925,0,2291531775,2486,47244,3833876,1867850,0,100000,34965,65535,True
ML0,in-season,47,2021-08-27,453511141,0,783613951,1924,100051,27951459,4358200,0,10400,11956,65535,True
ML0,in-season,48,2021-08-27,453511141,0,2358968319,4221,106631,27951459,20447357,0,13200,35994,65535,True
ML0,in-season,49,2021-08-27,453511141,0,4102029311,8706,131609,5357600,4243725,0,41228,62591,65535,True
ML0,in-season,50,2021-08-28,470288357,0,4237492223,5720,107906,5357600,38486189,0,408793,64658,65535,True
ML0,in-season,51,2021-08-28,470288357,0,2827812863,1830,9567,2048034,3178550,0,13000,43148,65535,True
ML0,in-season,52,2021-08-28,470288357,0,3052470271,1801,46649,38486189,4341813,0,35532,46576,65535,True
ML0,in-season,53,2021-08-28,470288357,0,2113929215,522,33700,6258693,2899974,0,40894,32255,65535,True
ML0,in-season,54,2021-08-28,470288357,0,1624047615,8704,63399,3407891,4243725,0,31655,24780,65535,True
ML0,in-season,55,2021-08-29,487065573,0,2995912703,1734,118968,4243725,1785906,0,0,45713,65535,True
ML0,in-season,56,2021-08-30,503842789,1,2356346879,4542,47835,81838222,44548235,0,1338,35954,65535,True
ML0,in-season,57,2021-08-30,503842789,0,3432906751,1511,106987,5947657,5914668,0,5051,52381,65535,True
ML0,in-season,58,2021-08-30,503842789,0,2998992895,1109,36703,2834443,5357600,0,64207,45760,65535,True
ML0,in-season,59,2021-08-31,520620005,0,247070719,1721,118977,2834443,1785906,0,553333,3769,65535,True
ML0,in-season,60,2021-08-31,520620005,0,2861694975,8717,45288,1900625,4243725,0,15600,43665,65535,True
ML0,in-season,61,2021-08-31,520620005,0,4095934463,5728,113281,1867850,38486189,0,157999,62498,65535,True
ML0,in-season,62,2021-08-31,520620005,0,1933705215,3198,108991,1720338,5357600,0,3962,29505,65535,True
ML0,in-season,63,2021-08-31,520620005,1,456261631,1834,118472,4227113,1769517,0,14023,6961,65535,True
ML0,in-season,64,2021-08-31,520620005,0,2208366591,8056,103366,6340855,6373625,0,6500,33696,65535,True
ML0,in-season,65,2021-08-31,520620005,0,3946971135,536,8574,1785906,2932752,0,108000,60225,65535,True
ML0,in-season,66,2021-08-31,520620005,0,2447769599,1027,109943,1785906,1949726,0,169000,37349,65535,True
ML0,in-season,67,2021-08-31,520620005,1,1755054079,1567,122908,3178550,1769517,0,41194,26779,65535,True
ML0,in-season,68,2021-08-31,520620005,0,4019257343,8812,108075,1802295,4341813,0,8516,61328,65535,True
ML0,in-season,69,2021-08-31,520620005,0,2974285823,3301,104479,3522628,3489856,0,24830,45383,65535,True
ML0,in-season,70,2021-08-31,520620005,0,1076690943,2184,113379,1851465,3489856,0,105349,16428,65535,True
ML0,in-season,71,2021-08-31,520620005,0,1098645503,11941,42343,1851465,4294967295,1,0,16763,65535,True
ML0,in-season,72,2021-08-31,520620005,0,4051959807,1451,103470,67911720,1802295,0,10361,61827,65535,True
ML0,in-season,73,2021-08-31,520620005,0,1074855935,1125,43079,2097328,5357600,0,36000,16400,65535,True
ML0,in-season,74,2021-08-31,520620005,0,3099328511,1205,114909,1769517,2048034,0,599267,47291,65535,True
ML0,in-season,75,2021-08-31,520620005,1,3411083263,34,133551,2916359,1654784,0,36382,52048,65535,True
ML0,in-season,76,2021-08-31,520620005,1,3508797439,12393,59933,85262717,87720318,0,1282,53539,65535,True
ML0,in-season,77,2021-08-31,520620005,0,2695495679,3693431839,60966,85262717,4294967295,1,0,41129,65535,True
ML0,in-season,78,2021-08-31,520620005,0,3493658623,7745,100550,3293420,28836080,0,23323,53308,65535,True
ML0,in-season,79,2021-08-31,520620005,0,3108175871,1387,100061,3571788,67911720,0,8558,47426,65535,True
ML0,in-season,80,2021-08-31,520620005,0,2437480447,17536,1073798919,38518959,1098138164,0,16053,37192,65535,True
ML0,in-season,81,2021-08-31,520620005,0,1890385919,3110,126097,38518959,4096093,0,60903,28844,65535,True
ML0,in-season,82,2021-08-31,520620005,1,4072341503,127,35086,38469804,6193155,0,17797,62138,65535,True
ML0,in-season,83,2021-08-31,520620005,0,2636185599,15861,42605,38469804,20185594,0,48230,40224,65535,True
ML0,in-season,84,2021-08-31,520620005,0,1064370175,7774,47640,6062359,6209777,0,33916,16240,65535,True
ML0,in-season,85,2021-08-31,520620005,0,2695954431,17519,1073780196,40730813,1095844403,0,56833,41136,65535,True
ML0,in-season,86,2021-08-31,520620005,0,3236626431,163,38627,1835075,1671172,0,34146,49386,65535,True
ML0,in-season,87,2021-08-31,520620005,0,1821966335,15462,130355,38568114,3260906,0,40030,27800,65535,True
ML0,in-season,88,2021-08-31,520620005,0,379650047,15334,40513,38568114,19710438,0,46736,5792,65535,True
ML0,in-season,89,2021-08-31,520620005,1,2821783551,13555,131754,29639039,2146727,0,25375,43056,65535,True
ML0,in-season,90,2021-08-31,520620005,0,3486253055,3693432033,107008,29639039,4309044,0,4400,53195,65535,True
ML0,in-season,91,2021-08-31,520620005,1,2014445567,13923,41109,29786546,30015924,0,1466,30737,65535,True
ML0,in-season,92,2021-08-31,520620005,1,2810314751,1546,138298,4341813,1769517,0,33464,42881,65535,True
ML0,in-season,93,2021-08-31,520620005,0,3229155327,953,983,5357600,1966108,0,7000,49272,65535,True
ML0,in-season,94,2021-08-31,520620005,0,1080164351,3613,132757,4309044,32424046,0,10400,16481,65535,True
ML0,in-season,95,2021-08-31,520620005,1,3297509375,8080,117739,71483637,68681978,0,1360,50315,65535,True
ML0,in-season,96,2021-08-31,520620005,0,2224095231,3296,59817,70828132,4294967295,1,0,33936,65535,True
ML0,in-season,97,2021-08-31,520620005,0,1988689919,8502,131362,39207172,72007943,0,3191,30344,65535,True
ML0,in-season,98,2021-08-31,520620005,0,287506431,18610,303458,3178550,4294967295,1,0,4386,65535,True
ML0,in-season,99,2021-09-02,34146277,2877358079,4294967295,4294967295,4294967295,65535,2063728639,4294967295,4294967295,65535,65535,True
