reg_index,db_id
1703,43076
1706,42669
1707,113911
1708,34098
1709,103420
1710,117047
1711,8944
1713,7329
1714,42874
1715,57353
1717,107889
1718,36770
1719,42556
1721,118977
1722,36998
1727,128133
1729,141417
1735,44104
1736,46240
1739,109997
1740,41082
1741,103008
1742,63497
1745,34881
1747,43288
1748,40856
1749,114523
1751,43075
1755,126336
1760,142362
1797,45383
1798,110784
1800,58829
1801,46649
1802,40429
1803,103656
1804,45334
1805,45267
1806,45255
1807,114238
1808,57133
1810,42872
1812,7327
1814,36625
1815,47261
1816,42630
1818,101071
1822,103268
1824,103317
1825,138062
1827,125013
1828,138015
1831,42868
1835,104324
1838,119816
1839,59838
1840,102742
1842,46466
1843,63592
1844,42869
1845,101617
1846,60627
1848,41100
1850,118765
1851,127659
1860,38655
1867,125761
1871,107674
1874,38843
1875,128434
1879,128258
1912,101121
1924,100051
1942,110596
1951,127150
1952,60534
1980,46666
2014,38779
2033,114381
2078,60437
2121,115246
2165,125402
2166,123160
2168,118650
2170,110578
2172,124839
2173,34862
2176,34799
2178,132547
2182,113843
2183,133095
2189,143197
2315,110696
2321,118535
2345,126724
2362,108421
2409,112441
2413,40990
2415,103293
2416,104271
2417,101234
2418,126567
2420,102695
2421,114064
2422,111804
2423,46879
2428,45299
2432,133653
2441,144091
2442,37026
2443,44609
2444,122697
2445,125039
2446,116691
2447,114880
2448,113929
2450,34611
2451,58653
2452,47814
2458,104277
2461,46487
2471,143247
2477,143138
2480,45993
2481,103206
2482,126284
2483,61142
2485,40456
2486,47244
2487,37106
2488,40352
2489,110718
2490,104105
2491,113284
2492,47011
2493,44946
2495,45356
2496,42575
2497,46003
2498,45946
2499,43262
2500,46637
2503,141422
2506,138481
2507,57207
2509,140588
2512,139797
2546,47195
2586,108474
2613,105074
2650,109260
2658,46996
2723,42378
2729,41596
2733,114333
2734,110577
2737,104804
2740,38797
2750,114604
2784,45788
2785,44844
2786,104811
2787,45396
2788,44843
2789,138628
2790,110852
2791,44729
2792,125368
2798,44834
2799,104739
2800,111157
2806,42606
2808,121107
2817,111130
2819,111073
2820,118038
2821,46941
2823,40870
2825,44849
2826,120102
2827,43450
2830,59847
2832,118648
2833,57284
2835,100989
2836,42404
2839,135410
2875,115659
2996,117410
2997,118613
2998,40392
3000,140209
3003,43040
3005,122012
3006,44043
3007,46650
3009,132791
3010,111986
3011,141186
3012,106403
3014,60924
3015,118731
3017,117932
3021,143133
3023,114680
3025,132595
3026,140036
3028,141468
3176,116252
3208,47678
3209,122092
3217,133131
3267,111172
3268,40725
3269,110681
3270,131947
3271,100393
3272,35189
3273,63702
3275,115356
3276,133301
3277,41063
3279,34905
3281,101058
3282,113296
3283,42348
3284,118061
3285,60391
3286,61451
3287,124553
3288,134044
3293,44181
3297,118214
3299,61402
3313,111168
3580,9133
3583,115929
3584,44171
3585,110925
3586,63495
3588,105950
3591,63718
3592,102337
3594,109629
3596,42721
3600,107469
3605,59806
3607,125660
3612,44936
3668,109380
3669,145617
3671,60729
3672,132760
3673,108245
3677,60738
3680,38247
3681,113528
3683,63765
3684,109350
3685,37505
3686,140846
3687,117929
3690,116577
3691,103064
3701,141722
3703,103155
3705,141885
3708,44965
3714,118444
3716,60796
3718,132754
3719,138484
3721,47542
3725,132756
3726,132573
3729,40669
3735,115932
3897,101116
3903,121402
4150,130112
4208,46343
4221,106631
4600,41555
4607,105633
4668,115068
4722,47843
4874,114366
5096,110520
5360,33185
5361,40350
5363,104752
5364,129961
5365,109005
5366,41124
5367,60446
5368,60884
5370,40002
5371,113283
5372,116136
5376,114226
5377,60906
5379,102901
5390,132524
5398,134868
5503,109343
5507,46864
5514,111490
5516,43074
5523,114191
5527,44776
5531,47162
5580,54370
5584,53783
5602,101883
5613,54682
5615,54683
5616,54693
5622,54700
5625,118193
5630,54699
5631,54702
5632,54701
5637,46564
5639,39730
5640,108218
5668,61442
5697,45368
5706,54058
5707,54059
5708,54060
5709,54071
5710,54062
5711,54063
5712,54064
5713,54065
5714,54066
5715,38784
5718,54070
5722,101872
5724,117766
5726,102526
5727,116647
5728,113281
5794,60763
5804,44857
5805,46842
5816,111452
5822,54785
5823,54775
5824,54776
5826,54787
5829,54780
5830,54781
5832,37827
5835,46825
5837,133543
5838,63916
5839,118007
5842,59835
5843,132933
5845,109124
5847,46647
5874,104794
5896,103142
6035,107224
6093,100509
7501,140383
7783,38794
7833,132189
8044,124360
8330,114201
8448,110851
8451,114331
8512,39230
8601,119860
8658,127297
8842,100219
8850,118272
8861,112022
8914,125882
9087,42654
9146,104413
9563,120548
9624,101215
9797,121361
9935,116486
10310,116785
10315,110462
10320,63106
10339,134891
10342,106735
10347,119747
10349,103407
10357,116996
10363,129493
10364,45193
10427,118940
10469,65264
10542,133177
10543,59741
10549,134934
10558,126302
10571,126752
10572,142662
10573,117505
10574,120240
10575,118883
10576,134902
10577,119703
10578,107541
10579,121860
10580,107849
10581,120455
10583,119922
10587,119533
10675,119443
10754,136605
10783,112398
10847,119447
10849,104754
10850,37470
10851,60912
10852,47061
10855,116249
10856,108980
10860,63302
10861,15965
10862,102019
10863,123358
10870,102383
10871,141959
10872,44720
10873,119570
10875,139840
10876,143552
10878,119512
10879,119514
10881,100697
10883,138459
10884,103393
10891,117073
10893,105062
10894,134985
10895,138458
10896,117993
10897,119576
10899,46836
10904,119508
10910,127313
10911,126544
11026,47207
11037,5778
11038,126405
11039,43589
11040,43784
11043,143368
11044,122040
11045,132593
11046,38947
11047,113236
11048,104825
11049,43590
11050,100386
11051,127703
11053,39414
11054,122258
11055,118494
11056,120927
11058,134879
11059,143456
11063,114552
11102,122184
11129,122111
11131,122043
11134,100526
11136,116226
11137,41000
11139,47633
11141,107847
11142,122119
11143,103515
11144,39382
11146,46859
11147,122121
11148,122127
11150,100992
11151,126560
11154,122123
