src,kind,idx,date,v1_status,v2_raw,v3_money_x100,v4,v5,v6,v7_flag,v8,f2_hi(player_id),f2_lo,name
ML1,in-season,80,2021-08-31,0,1072365567,17536,1073798919,38518959,1098138164,0,16053,16362,65535,
ML1,in-season,81,2021-08-31,0,2314600447,3110,126097,38518959,4096093,0,60903,35317,65535,
ML1,in-season,82,2021-08-31,1,3746037759,127,35086,38469804,6193155,0,17797,57159,65535,
ML1,in-season,83,2021-08-31,0,3232038911,15861,42605,38469804,20185594,0,48230,49316,65535,
ML1,in-season,84,2021-08-31,0,884277247,7774,47640,6062359,6209777,0,33916,13492,65535,艾志波
ML1,in-season,85,2021-08-31,0,2899640319,17519,1073780196,40730813,1095844403,0,56833,44244,65535,
ML1,in-season,86,2021-08-31,0,4188602367,163,38627,1835075,1671172,0,34146,63912,65535,
ML1,in-season,87,2021-08-31,0,2944991231,15462,130355,38568114,3260906,0,40030,44936,65535,伊沃·平托
ML1,in-season,88,2021-08-31,0,3324444671,15334,40513,38568114,19710438,0,46736,50726,65535,
ML1,in-season,89,2021-08-31,1,2143223807,13555,131754,29639039,2146727,0,25375,32702,65535,
ML1,in-season,90,2021-08-31,0,1468006399,3693432033,107008,29639039,4309044,0,4400,22399,65535,
ML1,in-season,91,2021-08-31,1,451280895,13923,41109,29786546,30015924,0,1466,6885,65535,
ML1,in-season,92,2021-08-31,1,1719205887,1546,138298,4341813,1769517,0,33464,26232,65535,
ML1,in-season,93,2021-08-31,0,2892365823,953,983,5357600,1966108,0,7000,44133,65535,
ML1,in-season,94,2021-08-31,0,1149632511,3613,132757,4309044,32424046,0,10400,17541,65535,
ML1,in-season,95,2021-08-31,1,808714239,8080,117739,71483637,68681978,0,1360,12339,65535,内伊奇·斯库比奇
ML1,in-season,96,2021-08-31,0,1617035263,3296,59817,70828132,4294967295,1,0,24673,65535,
ML1,in-season,97,2021-08-31,0,1602813951,8502,131362,39207172,72007943,0,3191,24456,65535,
ML1,in-season,98,2021-08-31,0,1531445247,18610,303458,3178550,4294967295,1,0,23367,65535,
ML13,in-season,0,2021-08-16,1,4287823871,10233,63308,5652565,69222715,0,7366,65426,65535,
ML13,in-season,1,2021-08-16,0,4278648831,17988,107077,65536524,4294967295,1,0,65286,65535,
ML13,in-season,2,2021-08-16,0,2521825279,9303,34704,3424537,6652190,0,4176,38479,65535,
ML13,in-season,3,2021-08-16,0,4278255615,7783,38794,38748592,4294967295,1,0,65280,65535,巴勃罗·拉万代拉
ML13,in-season,4,2021-08-16,0,4278255615,1321,32764,1917012,5455910,0,35565,65280,65535,巴勃罗·拉万代拉
ML13,in-season,5,2021-08-17,0,4294967295,4188,375602,1917012,20480128,0,10020,65535,65535,阿部勇树
ML13,in-season,6,2021-08-17,0,4278190082,2321,118535,69288255,3539013,0,78584,65280,2,巴勃罗·拉万代拉
ML13,in-season,7,2021-08-17,0,4294967295,2153,113908,31440932,21758015,0,100000,65535,65535,阿部勇树
ML13,in-season,8,2021-08-18,0,4294967295,3693432933,132023,1933402,38486189,0,100000,65535,65535,阿部勇树
ML13,in-season,9,2021-08-18,0,4294967295,10243,100165,20496856,4294967295,1,0,65535,65535,阿部勇树
ML13,in-season,10,2021-08-18,0,4278255615,3693431494,36782,26132756,4294967295,1,0,65280,65535,巴勃罗·拉万代拉
ML13,in-season,11,2021-08-18,0,4294705151,188,42666,3047446,6258693,0,35526,65531,65535,
ML13,in-season,12,2021-08-19,0,4289462271,1581,63283,3047446,5931054,0,10560,65451,65535,
ML13,in-season,13,2021-08-19,1,4278255615,2735,127801,2015265,1900625,0,16249,65280,65535,巴勃罗·拉万代拉
ML13,in-season,14,2021-08-19,0,4294967295,3769,4526,2015265,29556851,0,5062,65535,65535,阿部勇树
ML13,in-season,15,2021-08-19,0,4278255615,12091,103506,3145837,2130293,0,28399,65280,65535,巴勃罗·拉万代拉
ML13,in-season,16,2021-08-19,0,4261478399,3844,41206,2244739,31621237,0,11225,65024,65535,
ML13,in-season,17,2021-08-19,0,4278255615,1643,43046,44122687,4294967295,1,0,65280,65535,巴勃罗·拉万代拉
ML13,in-season,18,2021-08-19,0,4278255615,3693431521,38683,88555979,4294967295,1,0,65280,65535,巴勃罗·拉万代拉
ML13,in-season,19,2021-08-19,0,4294967295,7985,101107,84722076,6340855,0,26054,65535,65535,阿部勇树
ML13,in-season,20,2021-08-19,0,4278255615,1773,41020,1703944,4309044,0,7693,65280,65535,巴勃罗·拉万代拉
ML13,in-season,21,2021-08-20,1,4294967295,12072,9317,1703944,2130293,0,27776,65535,65535,阿部勇树
ML13,in-season,22,2021-08-20,0,4294967295,898,114903,3489856,5292058,0,135131,65535,65535,阿部勇树
ML13,in-season,23,2021-08-20,0,4293918719,5515,46648,1076232407,4294967295,1,0,65519,65535,
ML13,in-season,24,2021-08-20,0,4282777599,3693431985,103977,2949403,4294967295,1,0,65349,65535,鲁迪·达德菲尔德
ML13,in-season,25,2021-08-20,0,4294967295,4171,322961,86852082,4294967295,1,0,65535,65535,阿部勇树
ML13,in-season,26,2021-08-20,0,4294967295,8047,110472,5242903,3129443,0,44594,65535,65535,阿部勇树
ML13,in-season,27,2021-08-21,0,4278255615,126,9043,6176770,6193155,0,4608,65280,65535,巴勃罗·拉万代拉
ML13,in-season,28,2021-08-21,0,4294967295,3134,104259,38584499,4112478,0,32047,65535,65535,阿部勇树
ML13,in-season,29,2021-08-21,0,4278255615,121,124840,1753089,6193155,0,289714,65280,65535,巴勃罗·拉万代拉
ML13,in-season,30,2021-08-22,0,4278255615,7662,115227,68714510,66699502,0,300000,65280,65535,巴勃罗·拉万代拉
ML13,in-season,31,2021-08-22,0,4278255615,15628,47543,1835075,1933402,0,59199,65280,65535,巴勃罗·拉万代拉
ML13,in-season,32,2021-08-22,0,4278255615,12258,45668,4227113,32686458,0,18680,65280,65535,巴勃罗·拉万代拉
ML13,in-season,33,2021-08-23,0,4294967295,8455,143071,6258693,5849349,0,184798,65535,65535,阿部勇树
ML13,in-season,34,2021-08-24,0,4278255615,4360,7507,20447357,20562054,0,18999,65280,65535,巴勃罗·拉万代拉
ML13,in-season,35,2021-08-24,0,4294967295,8143,117931,4407621,3129443,0,12770,65535,65535,阿部勇树
ML13,in-season,36,2021-08-24,0,4291231743,600,110404,3555398,6537233,0,13184,65478,65535,
ML13,in-season,37,2021-08-24,0,4278452223,8858,107543,38453419,32342128,0,10114,65283,65535,奥利维拉
ML13,in-season,38,2021-08-25,0,4294967295,15370,42499,3932195,2195943,0,13000,65535,65535,阿部勇树
ML13,in-season,39,2021-08-25,0,4294967295,2733,114333,1638412,1900625,0,553332,65535,65535,阿部勇树
ML13,in-season,40,2021-08-26,1,4294967295,5101,47834,3391503,2261147,0,57798,65535,65535,阿部勇树
ML13,in-season,41,2021-08-26,0,4278255615,85,116543,37650597,6176770,0,131709,65280,65535,巴勃罗·拉万代拉
ML13,in-season,42,2021-08-26,0,4294967295,1841,42479,37650597,3178550,0,47391,65535,65535,阿部勇树
ML13,in-season,43,2021-08-26,0,4278255615,867,42588,3178550,5357600,0,54303,65280,65535,巴勃罗·拉万代拉
ML13,in-season,44,2021-08-26,0,4278255615,1383,47241,3178550,67911720,0,25652,65280,65535,巴勃罗·拉万代拉
ML13,in-season,45,2021-08-26,0,4043374591,5523,114191,3178550,3014823,0,209035,61696,65535,
ML13,in-season,46,2021-08-26,0,4278255615,2486,47244,3833876,1867850,0,100000,65280,65535,巴勃罗·拉万代拉
